citing_patent,citing_title,citing_assignee,citing_url
US-8352745-B2,System and method for controlling user access to an electronic device,"MICRON TECHNOLOGY INC, MCKEETH JAMES",https://patents.google.com/patent/US8352745B2
US-2005044382-A1,System and method for user authentication,Mckeeth James,https://patents.google.com/patent/US20050044382A1
US-8839416-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US8839416B2
US-2005174324-A1,User interface devices and methods employing accelerometers,HILLCREST COMMUNICATIONS INC,https://patents.google.com/patent/US20050174324A1
US-2008059660-A1,Portable data storage device,TREK 2000 INT LTD,https://patents.google.com/patent/US20080059660A1
US-11157091-B2,3D pointing devices and methods,IDHL HOLDINGS INC,https://patents.google.com/patent/US11157091B2
US-10311221-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US10311221B2
US-2005022005-A1,System and method for controlling user access to an electronic device,Mckeeth James,https://patents.google.com/patent/US20050022005A1
US-11689525-B2,System and apparatus for biometric identification of a unique user and authorization of the unique user,BRAIN TUNNELGENIX TECH CORP,https://patents.google.com/patent/US11689525B2
US-8145913-B1,System and method for password protection,"ZAITSEV OLEG V, KASPERSKY LAB ZAO",https://patents.google.com/patent/US8145913B1
US-12192196-B1,System and apparatus for biometric identification of a unique user and authorization of the unique user,BRAIN TUNNELGENIX TECH CORP,https://patents.google.com/patent/US12192196B1
WO-2021260314-A1,Device and method for authenticating a user of a first electronic device connected to a second electronic device,ORANGE,https://patents.google.com/patent/WO2021260314A1
US-9032316-B1,Value-based presentation of user-selectable computing actions,GOOGLE INC,https://patents.google.com/patent/US9032316B1
WO-2008103778-A3,Password protection system and method,"INVICTA NETWORKS INC, SHEYMOV VICTOR I",https://patents.google.com/patent/WO2008103778A3
US-2014096210-A1,Advanced Authentication Techniques,SKY SOCKET LLC,https://patents.google.com/patent/US20140096210A1
US-9594474-B2,Semantic selection and purpose facilitation,GOOGLE INC,https://patents.google.com/patent/US9594474B2
US-10514776-B2,3D pointing devices and methods,IDHL HOLDINGS INC,https://patents.google.com/patent/US10514776B2
US-2006101275-A1,Presence sensing information security,IBM,https://patents.google.com/patent/US20060101275A1
US-2005021960-A1,Method and system for authenticating a user of a computer system,Mckeeth James,https://patents.google.com/patent/US20050021960A1
US-7657095-B2,"Information processing apparatus, method and program",TOSHIBA KK,https://patents.google.com/patent/US7657095B2
US-8878785-B1,Intent determination using geometric shape input,GOOGLE INC,https://patents.google.com/patent/US8878785B1
US-8255982-B2,Method and apparatus for enabling a user to select an authentication method,"FOLEY JAMES M, JOHNSON RICK D, NAMBIAR ANANT, AMERICAN EXPRESS TRAVEL RELATE",https://patents.google.com/patent/US8255982B2
US-7182255-B2,Systems and methods for determining an authorization,FIRST DATA CORP,https://patents.google.com/patent/US7182255B2
US-2011107416-A1,Portable device having biometrics-based authentication capabilities,TREK 2000 INT LTD,https://patents.google.com/patent/US20110107416A1
US-8605959-B2,"Apparatus, system, and method for sequenced biometric authentication","KANGAS DAN, KANGAS REGINA DAWN, IBM",https://patents.google.com/patent/US8605959B2
US-9811651-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US9811651B2
US-2006294599-A1,Method and apparatus for protecting private information on a user apparatus,CREATIVE TECH LTD,https://patents.google.com/patent/US20060294599A1
US-10419444-B2,Systems and methods for protecting messages utilizing a hidden restriction mechanism,CYBERLINK CORP,https://patents.google.com/patent/US10419444B2
US-2003217206-A1,System and apparatus for compressing and decompressing data stored to a portable data storage device,Poo Teng Pin,https://patents.google.com/patent/US20030217206A1
US-2010158327-A1,"Apparatus, system, and method for sequenced biometric authentication",IBM,https://patents.google.com/patent/US20100158327A1
US-11068696-B2,"Protecting individuals privacy in public through visual opt-out, signal detection, and marker detection",IBM,https://patents.google.com/patent/US11068696B2
US-2004225762-A1,Method and devices for data transfer,Poo Teng Pin,https://patents.google.com/patent/US20040225762A1
US-10339288-B2,User authentication for mobile devices using behavioral analysis,"MCAFEE INC, MCAFEE LLC",https://patents.google.com/patent/US10339288B2
US-9375527-B2,Safety features for medical devices requiring assistance and supervision,NXSTAGE MEDICAL INC,https://patents.google.com/patent/US9375527B2
US-9779179-B2,Referent based search suggestions,GOOGLE INC,https://patents.google.com/patent/US9779179B2
US-7353399-B2,Method and apparatus of storage anti-piracy key encryption (SAKE) device to control data access for networks,TREK 2000 INT LTD,https://patents.google.com/patent/US7353399B2
US-9652556-B2,Search suggestions based on viewport content,GOOGLE INC,https://patents.google.com/patent/US9652556B2
US-2011202978-A1,Method and apparatus for enabling a user to select an authentication method,AMERICAN EXPRESS TRAVEL RELATE,https://patents.google.com/patent/US20110202978A1
US-8904185-B2,Presence sensing information security,"DANIELS FONDA, KUMHYR DAVID B, LYLE RUTHIE D, IBM",https://patents.google.com/patent/US8904185B2
US-2011119759-A1,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US20110119759A1
US-2011197265-A1,Method and apparatus for enabling a user to select an authentication method,AMERICAN EXPRESS TRAVEL RELATE,https://patents.google.com/patent/US20110197265A1
US-8473351-B1,Systems and methods for verifying authorization,"MOLLETT CASSANDRA, BETHSCHEIDER ALAN JAY, BRAUCKMAN SUSAN DIANE, WALKER DAVID A, SMITH DAVID WAYNE, FIRST DATA CORP",https://patents.google.com/patent/US8473351B1
US-9544306-B2,Attempted security breach remediation,"SKY SOCKET LLC, AIRWATCH LLC",https://patents.google.com/patent/US9544306B2
US-2011230204-A1,Interactive advisory system,LOCATOR IP LP,https://patents.google.com/patent/US20110230204A1
US-8825671-B1,Referent determination from selected content,GOOGLE INC,https://patents.google.com/patent/US8825671B1
US-2012137340-A1,Implicit authentication,"JAKOBSSON BJORN MARKUS, CHOW RICHARD, SHI RUNTING, PALO ALTO RES CT INC",https://patents.google.com/patent/US20120137340A1
US-2011197074-A1,Method and apparatus for enabling a user to select an authentication method,AMERICAN EXPRESS TRAVEL RELATE,https://patents.google.com/patent/US20110197074A1
US-8560705-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8560705B2
US-8572247-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8572247B2
US-2004234049-A1,Telephone calling interface,John Melideo,https://patents.google.com/patent/US20040234049A1
US-9038163-B2,Systems and methods for connecting network devices over communication network,VIRNETX INC,https://patents.google.com/patent/US9038163B2
US-9027115-B2,System and method for using a registered name to connect network devices with a link that uses encryption,VIRNETX INC,https://patents.google.com/patent/US9027115B2
US-2007258437-A1,Switching network employing server quarantine functionality,BROADCOM CORP,https://patents.google.com/patent/US20070258437A1
US-8843643-B2,System and method employing an agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US8843643B2
US-2008222415-A1,Agile network protocol for secure communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US20080222415A1
US-2010281398-A1,Telephone Calling Interface,MELIDEO JOHN,https://patents.google.com/patent/US20100281398A1
US-8516117-B2,Agile network protocol for secure communications with assured system availability,"MUNGER EDMUND, SCHMIDT DOUGLAS, SHORT III ROBERT, LARSON VICTOR, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8516117B2
US-9077695-B2,System and method for establishing an encrypted communication link based on IP address lookup requests,VIRNETX INC,https://patents.google.com/patent/US9077695B2
US-2008040791-A1,Agile network protocol for secure communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US20080040791A1
US-7509428-B2,Method and system for communicating between clients in a computer network,WEB COM INC,https://patents.google.com/patent/US7509428B2
US-10511573-B2,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US10511573B2
US-9077694-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9077694B2
US-2006123134-A1,Agile network protocol for secure communications with assured system availability,SCIENCE APPLIC INT CORP,https://patents.google.com/patent/US20060123134A1
US-2011167087-A1,agile network protocol for secure communications using secure domain names,VIRTNETX INC,https://patents.google.com/patent/US20110167087A1
US-9860283-B2,Agile network protocol for secure video communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US9860283B2
US-8504696-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8504696B2
US-9094399-B2,Method for establishing secure communication link between computers of virtual private network,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9094399B2
US-8291012-B2,Address updating scheme for wireless communication,"GUPTA RAJARSHI, SUBRAMANIAN RAMACHANDRAN, QUALCOMM INC",https://patents.google.com/patent/US8291012B2
US-2008216168-A1,Method for establishing secure communication link between computers of virtual private network,VIRNETX INC,https://patents.google.com/patent/US20080216168A1
US-2004184418-A1,Arrangement for the wireless connection of terminals to a communication system,"Gerhard Benning, Josef Klein",https://patents.google.com/patent/US20040184418A1
US-2011185053-A1,Agile Network Protocol For Secure Communications Using Secure Domain Names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL",https://patents.google.com/patent/US20110185053A1
US-2008034201-A1,agile network protocol for secure communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US20080034201A1
US-2008005792-A1,Method for establishing secure communication link between computers of virtual private network,SCIENCE APPLIC INT CORP,https://patents.google.com/patent/US20080005792A1
US-8010793-B2,Data communication method and system,HITACHI LTD,https://patents.google.com/patent/US8010793B2
US-9100375-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9100375B2
